#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
5000,10.000000000000009,-206257.17200161167,300.55938664053673,0
10000,19.999999999999794,-205671.44031335157,296.64462419200794,663
15000,29.99999999999425,-206506.8421067358,297.63206101733186,654
20000,40.00000000000292,-206368.85106196802,297.49408503363975,654
25000,50.00000000001514,-205215.4516818734,298.8512347076311,656
30000,60.00000000002736,-206126.80449542007,297.3594843090692,657
35000,70.00000000001826,-205639.6702169379,298.2572510738412,656
40000,79.99999999999496,-205756.47127577337,306.02760435145257,656
45000,89.99999999997165,-205621.2488607663,301.342318439283,655
50000,99.99999999994834,-205560.59849314892,298.6594835782094,655
55000,109.99999999992504,-206300.06626139954,301.14894875023,655
60000,119.99999999990173,-205660.90257211914,303.98437810970853,656
65000,129.99999999989262,-205722.36297331215,300.15276022391635,655
70000,139.99999999994037,-206352.77022054303,301.88751504697734,655
75000,149.99999999998812,-205601.4885148016,300.98506981836056,654
80000,160.00000000003587,-205874.95905542816,299.94669190388294,655
85000,170.00000000008362,-205296.38260509085,299.07919880321003,655
90000,180.00000000013137,-205581.7724850059,301.52050958025364,656
95000,190.0000000001791,-206059.7818508806,298.3060714774983,655
100000,200.00000000022686,-206087.95561810664,296.9388009645047,655
105000,210.0000000002746,-205459.24091847113,298.52519734953245,655
110000,220.00000000032236,-206149.5881029506,297.54306434787685,655
115000,230.0000000003701,-205471.8067622562,300.36470499216654,655
120000,240.00000000041786,-205554.42187037272,300.81419190452044,655
125000,250.0000000004656,-206278.17017036083,300.65489341351014,655
130000,260.00000000051335,-205432.079170492,300.93021758507757,655
135000,270.0000000005611,-205979.82931551605,298.61758577589717,655
140000,280.00000000060885,-205985.7219679749,298.0209552685217,655
145000,290.0000000006566,-206182.78998401505,301.01086334704496,655
150000,300.00000000070435,-205606.67569191894,302.32117136465956,655
155000,310.0000000007521,-206194.19669862383,297.97300836540813,655
160000,320.00000000079984,-206055.51927089924,299.96853554484653,655
165000,330.0000000008476,-205375.7145915915,302.80737155163933,655
170000,340.00000000089534,-206433.1095400066,304.3537991509212,655
175000,350.0000000009431,-205289.40130468272,304.1358264095078,655
180000,360.00000000099084,-206525.7985389745,299.37165762689386,655
185000,370.0000000010386,-206398.3225481403,296.29839877994624,655
190000,380.00000000108633,-205919.07151375257,301.7944896175051,655
195000,390.0000000011341,-205835.870120654,304.95301311902006,655
200000,400.00000000118183,-205409.4180430884,298.40060604581413,655
205000,410.0000000012296,-205804.3894142965,299.88830711346543,655
210000,420.00000000127733,-205705.24630126264,299.75693251672413,655
215000,430.0000000013251,-205406.5311564179,300.9637100120276,654
220000,440.0000000013728,-206036.36557952978,300.12194554383683,654
225000,450.0000000014206,-206418.7231523753,301.36359034901324,655
230000,460.0000000014683,-205641.54262006632,300.3946199169305,654
235000,470.00000000151607,-205899.0268448993,299.8920227985115,654
240000,480.0000000015638,-205548.70077538618,302.65855441943637,654
245000,490.00000000161157,-205912.1069970806,302.0033034225291,653
250000,500.0000000016593,-205556.82767883153,300.05383776174097,653
255000,510.00000000170706,-206196.93195560714,296.756902183015,653
260000,520.0000000015274,-205640.36852979823,304.01023968960044,653
265000,530.0000000012909,-206006.34641937562,296.9729037281936,653
270000,540.0000000010544,-205944.59769853228,302.40590559134705,653
275000,550.000000000818,-206264.04621812224,300.2960038512538,653
280000,560.0000000005815,-205698.87048577913,305.79468385116576,653
285000,570.000000000345,-205698.2389906518,304.51564269440064,653
290000,580.0000000001086,-205344.23819594248,301.3172421780477,653
295000,589.9999999998721,-205983.6719810383,301.3473603975468,653
300000,599.9999999996356,-206135.41243323823,303.07825750978407,653
305000,609.9999999993992,-205913.67569767789,298.1517964527785,653
310000,619.9999999991627,-206150.8247029857,299.5448906746075,652
315000,629.9999999989262,-205292.54686472577,306.10272291218746,653
320000,639.9999999986898,-204831.7436269269,297.9396235521719,652
325000,649.9999999984533,-205393.60050063033,300.0991074146663,652
330000,659.9999999982168,-205729.3908552525,302.68160420346356,652
335000,669.9999999979804,-205922.2133745196,297.88147227195986,652
340000,679.9999999977439,-205328.3516018961,303.2636815222587,652
345000,689.9999999975074,-206080.801329909,297.3926830021766,652
350000,699.999999997271,-206131.82012189075,302.04178062214606,652
355000,709.9999999970345,-205533.59317242284,293.08648585253826,651
360000,719.999999996798,-206506.23992213432,301.7237309865222,651
365000,729.9999999965615,-206227.85614019446,300.72750895896775,651
370000,739.9999999963251,-205418.81781427877,296.87218790897214,651
375000,749.9999999960886,-206023.42066049087,301.1623574541745,651
380000,759.9999999958521,-205588.4018158262,295.14751726409236,651
385000,769.9999999956157,-205831.62013313116,300.12213849377537,651
390000,779.9999999953792,-206636.12639107252,301.459382894899,651
395000,789.9999999951427,-204944.8122156408,300.54141967334124,651
400000,799.9999999949063,-205663.10707709834,303.0623749490992,651
405000,809.9999999946698,-205307.85627996235,303.0449239459347,651
410000,819.9999999944333,-205638.33938249794,297.5223335188782,651
415000,829.9999999941969,-206436.92298917833,299.7439655083248,651
420000,839.9999999939604,-205800.4682068783,297.8887186966478,651
425000,849.9999999937239,-205682.9828785929,300.0582547993448,651
430000,859.9999999934874,-205982.7912881854,301.790040868407,651
435000,869.999999993251,-205562.95840547606,302.4171980841738,651
440000,879.9999999930145,-205742.2283075857,295.4087842618259,651
445000,889.999999992778,-206665.36879182002,300.9719655973448,651
450000,899.9999999925416,-206151.06757361442,301.97962157062267,651
455000,909.9999999923051,-205745.81076198956,305.7535829954245,651
460000,919.9999999920686,-205670.97689229308,301.40095800353964,651
465000,929.9999999918322,-205340.5236974561,302.9093477594219,651
470000,939.9999999915957,-206375.6344074515,300.88398048866725,651
475000,949.9999999913592,-206498.45000548125,299.8888389696317,651
480000,959.9999999911228,-205926.32337078592,297.3423723379179,651
485000,969.9999999908863,-205687.77217700554,305.3661196537482,651
490000,979.9999999906498,-205850.79042205773,302.3816814631952,651
495000,989.9999999904134,-205664.19004029362,299.00808587292164,651
500000,999.9999999901769,-205290.34059059503,296.4133453289526,651
505000,1009.9999999899404,-206647.65522066457,297.98259607764044,651
510000,1019.999999989704,-206063.45790473674,299.442018130278,651
515000,1029.9999999894676,-205380.78042055608,303.90553708271926,651
520000,1039.9999999892311,-205465.90209626686,303.9451960722791,651
525000,1049.9999999889947,-205577.16534572828,298.95116868802404,651
530000,1059.9999999887582,-205793.58296042506,300.2676829217452,651
