#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
5000,10.000000000000009,-206831.92081617378,303.6775518727485,0
10000,19.999999999999794,-205026.83077465917,304.4349062857157,228
15000,29.99999999999425,-206084.49008604581,297.6361180022292,230
20000,40.00000000000292,-205619.67079160514,301.51327572433274,227
25000,50.00000000001514,-206857.07587072533,303.5337959823644,226
30000,60.00000000002736,-206035.65392768558,301.87150324096797,225
35000,70.00000000001826,-206620.7817569722,304.74054597091003,223
40000,79.99999999999496,-205970.6764249123,298.17303682930566,221
45000,89.99999999997165,-205805.56675816595,300.7193239482977,222
50000,99.99999999994834,-206535.869329217,299.02047800016544,222
55000,109.99999999992504,-206587.32536669588,299.1259178900167,221
60000,119.99999999990173,-206345.15101646073,302.4986900186163,221
65000,129.99999999989262,-205925.05655881937,302.3375158893419,221
70000,139.99999999994037,-206605.48581429757,303.39193108581225,221
75000,149.99999999998812,-205774.90946867224,303.93104550009474,221
80000,160.00000000003587,-206308.81280055363,294.35345897854893,221
85000,170.00000000008362,-206234.6347407581,299.65275078576065,221
90000,180.00000000013137,-205863.2042367356,296.5903478039016,222
95000,190.0000000001791,-206235.57120571774,301.1048702653274,221
100000,200.00000000022686,-206410.84430208767,298.4076228501575,221
105000,210.0000000002746,-206360.06389620923,297.3805353924545,222
110000,220.00000000032236,-206475.1935067966,304.75954598975494,221
115000,230.0000000003701,-206328.69585492124,298.6603711342328,222
120000,240.00000000041786,-206415.31535921292,301.4303835739006,221
125000,250.0000000004656,-206297.2443543945,298.9329803206642,221
130000,260.00000000051335,-205387.97011503496,298.9365289565026,221
135000,270.0000000005611,-206726.77228793956,302.5264794862982,221
140000,280.00000000060885,-206416.22100247385,299.0709859777255,221
145000,290.0000000006566,-206531.4924248393,300.43456228457586,221
150000,300.00000000070435,-206214.74702176324,299.6944898813512,221
155000,310.0000000007521,-205424.4938258893,303.69892167515076,221
160000,320.00000000079984,-205753.75904030527,302.67676393780476,221
165000,330.0000000008476,-206356.83000522025,302.2743547497321,221
170000,340.00000000089534,-205630.44102641277,299.59241806982635,221
175000,350.0000000009431,-206859.19379069575,297.3457671903347,221
180000,360.00000000099084,-206467.06507528934,299.6306105461666,221
185000,370.0000000010386,-205688.17471213045,302.7892940398873,221
190000,380.00000000108633,-205895.55048674415,302.7312103528409,221
195000,390.0000000011341,-206028.98568676086,303.41239892552585,221
200000,400.00000000118183,-205437.36728967004,295.34289247256936,221
205000,410.0000000012296,-206213.0948578735,301.72933361162904,221
210000,420.00000000127733,-206441.16130778927,299.16271792466995,221
215000,430.0000000013251,-206406.54508629383,298.51925567231945,221
220000,440.0000000013728,-206316.66933913226,300.38913595705833,221
225000,450.0000000014206,-205872.87644702895,308.24920483103915,221
230000,460.0000000014683,-205492.84045979741,296.31935062684516,221
235000,470.00000000151607,-206529.16776374925,299.65876005001587,221
240000,480.0000000015638,-205716.4581768635,298.471652344957,221
