#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
5000,10.000000000000009,-203288.93308992859,299.9481150090493,0
10000,19.999999999999794,-203238.38747440523,302.6518478842005,223
15000,29.99999999999425,-203457.50730569125,296.4226824232708,222
20000,40.00000000000292,-203186.78089572245,293.4967487179919,222
25000,50.00000000001514,-203022.51858780778,296.7143149659428,223
30000,60.00000000002736,-202881.10105372698,296.02027311641797,224
35000,70.00000000001826,-202312.4368825988,306.3515189523949,224
40000,79.99999999999496,-203225.12280726735,297.8161871616526,223
45000,89.99999999997165,-203489.5752119294,302.6394983310947,223
50000,99.99999999994834,-202245.28440965782,298.29040079295163,223
55000,109.99999999992504,-203515.97861104144,295.1217619550982,223
60000,119.99999999990173,-202693.1306149955,300.07966576535796,222
65000,129.99999999989262,-203495.07870497135,299.48149990462014,222
70000,139.99999999994037,-203209.64662397094,297.68179016809376,222
75000,149.99999999998812,-202346.2562810668,294.71375283594455,221
80000,160.00000000003587,-203265.4651716532,296.9858650044573,221
85000,170.00000000008362,-203824.0885125671,298.5684629748303,221
90000,180.00000000013137,-202678.97393071651,297.5829232513302,221
95000,190.0000000001791,-202800.28290368698,302.2629240267068,221
100000,200.00000000022686,-203038.70495761966,297.8998324098667,221
105000,210.0000000002746,-203627.3341179681,303.1650075853268,221
110000,220.00000000032236,-202578.63510126073,300.09858281340706,221
115000,230.0000000003701,-202792.88887196756,300.74357518356567,221
120000,240.00000000041786,-203299.70759652404,303.1578248053958,221
125000,250.0000000004656,-203150.2207269373,297.40667504130175,221
130000,260.00000000051335,-202826.9826990919,297.6004587325775,221
135000,270.0000000005611,-203414.58393382328,300.05416524473634,221
140000,280.00000000060885,-202746.18060810654,302.9506520095933,221
145000,290.0000000006566,-202864.43538797577,302.4597809721096,221
150000,300.00000000070435,-202403.8361786995,302.5002737331943,221
155000,310.0000000007521,-203339.62654466694,295.4143214548975,221
160000,320.00000000079984,-203291.14392864506,300.8368486665536,221
165000,330.0000000008476,-202279.24260987446,300.95000682262025,221
170000,340.00000000089534,-202746.1956253458,297.77839123704626,221
175000,350.0000000009431,-202184.08170447324,301.9569985208863,221
180000,360.00000000099084,-202898.34649421833,303.05143121828206,221
185000,370.0000000010386,-203070.44124447054,296.5955559428734,221
190000,380.00000000108633,-202263.28166121652,298.40015512354825,221
195000,390.0000000011341,-202593.88512996444,302.227593796706,221
200000,400.00000000118183,-203319.647964222,302.2463195564585,221
205000,410.0000000012296,-203355.52778116742,300.4262380846708,221
210000,420.00000000127733,-202712.96690995758,301.94344447413664,221
215000,430.0000000013251,-202338.14775433973,294.308871778095,221
220000,440.0000000013728,-203642.3519946601,296.98555380383374,221
225000,450.0000000014206,-202927.82313629787,304.11850241479135,221
230000,460.0000000014683,-203141.28926439537,301.5923249650396,221
235000,470.00000000151607,-203580.5198884596,300.991486595582,221
240000,480.0000000015638,-203182.3427449162,300.4168045558277,221
245000,490.00000000161157,-203683.7265559833,303.3131062042205,221
250000,500.0000000016593,-202727.7312581787,301.3250479451808,221
255000,510.00000000170706,-203492.05328253482,302.9837591706421,221
260000,520.0000000015274,-202532.0328790797,299.17338337179376,221
265000,530.0000000012909,-202955.95530505758,304.5459885337671,221
270000,540.0000000010544,-203764.85198574327,300.0983785184188,221
275000,550.000000000818,-203064.52895331162,304.0764072842248,221
280000,560.0000000005815,-202888.66276200232,302.61194636857397,221
285000,570.000000000345,-203225.8016560201,299.251249487685,221
290000,580.0000000001086,-203412.831858563,304.5330636382148,221
295000,589.9999999998721,-202882.88178324595,300.4479285526501,221
300000,599.9999999996356,-202750.0241925415,298.2476898060743,221
305000,609.9999999993992,-203182.39780994458,300.15226508507396,221
310000,619.9999999991627,-203324.17770763114,296.2248914835252,221
315000,629.9999999989262,-202617.07838508917,301.8618397653083,221
320000,639.9999999986898,-202366.09063077252,302.61394009754434,221
325000,649.9999999984533,-203207.4068824295,298.3812892558338,221
330000,659.9999999982168,-203279.2696237897,301.0245706785011,221
335000,669.9999999979804,-202874.6114523058,300.4241617707035,221
340000,679.9999999977439,-202761.35588910268,300.03795435810684,221
345000,689.9999999975074,-203567.0880305788,304.8245638284761,221
350000,699.999999997271,-202121.6563891461,301.0606504748078,221
355000,709.9999999970345,-202914.8625746991,300.3624441915317,221
360000,719.999999996798,-203310.11317758926,299.6910250066792,221
365000,729.9999999965615,-203577.29343132128,302.4006022227959,221
370000,739.9999999963251,-203026.36654357228,301.82697613251395,221
375000,749.9999999960886,-202570.77751295606,302.6524179248749,221
380000,759.9999999958521,-202993.84978958662,303.7909827782386,221
385000,769.9999999956157,-203618.93941403856,300.8380196555947,221
390000,779.9999999953792,-202889.6478426404,299.9376972599167,221
395000,789.9999999951427,-202826.71293609228,304.6530772599409,221
400000,799.9999999949063,-202562.00485513953,298.4218212374681,221
405000,809.9999999946698,-203365.50069560588,301.75747532605243,221
410000,819.9999999944333,-203547.7683989075,300.83232499526144,221
415000,829.9999999941969,-203147.52682927565,301.10088975816984,221
420000,839.9999999939604,-203293.6852651838,300.35640021640097,221
425000,849.9999999937239,-202914.95884683833,299.84648153059425,221
430000,859.9999999934874,-203257.75408910285,297.5590823038118,221
435000,869.999999993251,-203290.64435913984,296.133645188302,221
440000,879.9999999930145,-203319.0393211206,294.8519738484923,221
445000,889.999999992778,-203085.22861502378,304.7844492114872,221
450000,899.9999999925416,-203539.40547151142,299.739181818235,221
455000,909.9999999923051,-203164.6118247551,297.9789414310225,221
460000,919.9999999920686,-203647.88441535993,298.2745836403737,221
465000,929.9999999918322,-202932.6269522172,295.9390071955921,221
470000,939.9999999915957,-202654.09964967123,298.9823251687589,221
475000,949.9999999913592,-202402.45560353878,300.02775607816767,221
480000,959.9999999911228,-203788.51158311835,299.3095611397203,221
485000,969.9999999908863,-202880.17359233834,310.27853123361564,221
490000,979.9999999906498,-203355.86783803208,297.0149910268289,221
495000,989.9999999904134,-203271.46454959386,298.1564194996901,221
500000,999.9999999901769,-203107.65913628472,303.2655686217992,221
505000,1009.9999999899404,-203312.11885938374,297.97914887934223,221
510000,1019.999999989704,-203364.1019546003,298.68359038139874,221
515000,1029.9999999894676,-203675.94004820695,299.2148619979929,221
520000,1039.9999999892311,-202705.69104958326,299.1420402227114,221
525000,1049.9999999889947,-203743.66092954017,298.1544932564075,221
530000,1059.9999999887582,-202395.2018194109,295.73018719897607,221
535000,1069.9999999885217,-202382.41914345464,299.71865839830184,221
540000,1079.9999999882853,-203572.49278444296,302.6369556284807,221
545000,1089.9999999880488,-203606.98324621643,303.36893116763775,221
550000,1099.9999999878123,-202693.18581507367,299.7139300274592,221
555000,1109.9999999875758,-202550.22094519576,300.33477763656373,221
560000,1119.9999999873394,-202746.14633880008,298.2355914727277,221
565000,1129.999999987103,-203256.53374764905,299.8909870216244,221
570000,1139.9999999868664,-203516.702891008,298.19931645510195,221
575000,1149.99999998663,-202917.4884152892,301.9970031429651,221
580000,1159.9999999863935,-203004.12926883064,301.12682247230015,221
585000,1169.999999986157,-203135.97584702703,298.66467741907405,221
590000,1179.9999999859206,-203012.04428288538,302.1073072991136,221
595000,1189.999999985684,-202989.01338553044,297.99013615810355,221
600000,1199.9999999854476,-202735.44557785848,299.22686389045265,221
605000,1209.9999999852112,-202856.14134253946,305.8582332586335,221
610000,1219.9999999849747,-202154.5947196337,301.305449586962,221
615000,1229.9999999847382,-203456.7613815223,303.96422169231806,221
620000,1239.9999999845018,-202670.17749768146,304.6391950715768,221
625000,1249.9999999842653,-202776.60171153583,299.8361820571475,221
630000,1259.9999999840288,-202463.49060714152,298.0238476979542,221
635000,1269.9999999837923,-203251.43415634334,301.364763898641,221
640000,1279.9999999835559,-203697.09949617262,300.72488612046993,221
645000,1289.9999999833194,-203200.86479321262,297.45116947370377,221
650000,1299.999999983083,-203294.55017070088,304.9201749185461,221
655000,1309.9999999828465,-202461.29890280124,297.8737280391996,221
660000,1319.99999998261,-203164.52672191558,299.04270646373993,221
665000,1329.9999999823735,-202896.95765430492,300.54209998727487,221
670000,1339.999999982137,-203522.34397809568,298.5592992972335,221
675000,1349.9999999819006,-203130.37524091406,296.5007974989705,221
680000,1359.9999999816641,-203206.79911343788,295.85475518466774,221
685000,1369.9999999814277,-203646.6433857408,299.9757021550442,221
690000,1379.9999999811912,-203561.29786374408,295.3081897443611,221
695000,1389.9999999809547,-202495.4954290943,303.2165976337687,221
700000,1399.9999999807183,-203874.80041302205,297.3113380493278,221
705000,1409.9999999804818,-203017.36513201264,305.235846001217,221
710000,1419.9999999802453,-203514.43460932886,301.3764312046782,221
715000,1429.9999999800089,-203302.5607410455,298.0610304363114,221
720000,1439.9999999797724,-202540.01877694984,300.2431038780967,221
725000,1449.999999979536,-201696.25484076212,295.9012790527108,221
730000,1459.9999999792994,-202527.93527283985,301.8537870587363,221
735000,1469.999999979063,-202164.60367271036,305.5272841415056,221
740000,1479.9999999788265,-202799.26396603533,298.9638048807743,221
745000,1489.99999997859,-202740.4847907772,302.95658363079093,221
750000,1499.9999999783536,-202385.78522543306,304.6515630686422,221
755000,1509.999999978117,-202895.3481057767,299.0009607372766,221
760000,1519.9999999778806,-203274.14040462044,299.53665312333095,221
765000,1529.9999999776442,-203789.66346970282,297.4910457443432,221
770000,1539.9999999774077,-202412.52102207532,296.4253066226846,221
775000,1549.9999999771712,-202897.3253973464,301.57062409092987,221
780000,1559.9999999769348,-202435.77458166308,300.4962195527421,221
785000,1569.9999999766983,-203357.69336411473,302.4228608882843,221
790000,1579.9999999764618,-203371.3816826936,296.4645521031242,221
795000,1589.9999999762254,-202798.24218938185,298.29866451371726,221
800000,1599.9999999759889,-202913.03817917022,295.76259999610056,221
805000,1609.9999999757524,-203191.46124591178,301.1101894832458,221
810000,1619.999999975516,-203044.93354137335,298.5677092410042,221
815000,1629.9999999752795,-202435.9235646295,304.660586755521,221
820000,1639.999999975043,-202725.12862071057,295.3885782300316,221
825000,1649.9999999748065,-202688.48095096333,298.6294396504331,221
830000,1659.99999997457,-202036.42357599945,302.37718218095694,221
835000,1669.9999999743336,-203059.8121774051,304.10397051903396,221
840000,1679.9999999740971,-202925.39290038496,298.24984072557237,221
845000,1689.9999999738607,-202479.3187778293,299.22956985749045,221
850000,1699.9999999736242,-202291.911393704,303.2138122712636,221
855000,1709.9999999733877,-203361.3577868715,301.0254896627087,221
860000,1719.9999999731513,-202551.3778308679,295.64551858626527,221
865000,1729.9999999729148,-202882.83830461407,300.08146670105157,221
870000,1739.9999999726783,-202174.60019319924,299.13561005085444,221
875000,1749.9999999724419,-202916.94350655784,299.77813117118956,221
880000,1759.9999999722054,-202272.63185779378,298.9520688974283,221
885000,1769.999999971969,-202516.4117022158,303.19324509687755,221
890000,1779.9999999717324,-201771.51609217806,300.2791148887489,221
