Steered MD: KKRPKP_membrane
Pull from z=2.5 to z=0.3 nm over 10.0 ns
Rate: 0.0005 nm/ps, k=500.0 kJ/mol/nm^2
  t=0.0ns z_target=2.500 z_actual=2.554 dz=+0.054 speed=0ns/day
  t=0.2ns z_target=2.456 z_actual=2.360 dz=-0.096 speed=340ns/day
  t=0.4ns z_target=2.412 z_actual=2.420 dz=+0.008 speed=338ns/day
  t=0.6ns z_target=2.368 z_actual=2.441 dz=+0.073 speed=338ns/day
  t=0.8ns z_target=2.324 z_actual=2.342 dz=+0.019 speed=337ns/day
  t=1.0ns z_target=2.280 z_actual=2.236 dz=-0.044 speed=337ns/day
  t=1.2ns z_target=2.236 z_actual=2.192 dz=-0.044 speed=337ns/day
  t=1.4ns z_target=2.192 z_actual=2.117 dz=-0.074 speed=337ns/day
  t=1.6ns z_target=2.148 z_actual=2.103 dz=-0.045 speed=337ns/day
  t=1.8ns z_target=2.104 z_actual=2.163 dz=+0.059 speed=337ns/day
  t=2.0ns z_target=2.060 z_actual=2.148 dz=+0.088 speed=337ns/day
  t=2.2ns z_target=2.016 z_actual=1.966 dz=-0.050 speed=337ns/day
  t=2.4ns z_target=1.972 z_actual=1.937 dz=-0.035 speed=337ns/day
  t=2.6ns z_target=1.928 z_actual=1.932 dz=+0.005 speed=337ns/day
  t=2.8ns z_target=1.884 z_actual=1.879 dz=-0.005 speed=337ns/day
  t=3.0ns z_target=1.840 z_actual=1.823 dz=-0.017 speed=337ns/day
  t=3.2ns z_target=1.796 z_actual=1.783 dz=-0.013 speed=337ns/day
  t=3.4ns z_target=1.752 z_actual=1.747 dz=-0.005 speed=337ns/day
  t=3.6ns z_target=1.708 z_actual=1.711 dz=+0.003 speed=337ns/day
  t=3.8ns z_target=1.664 z_actual=1.587 dz=-0.076 speed=337ns/day
  t=4.0ns z_target=1.620 z_actual=1.682 dz=+0.062 speed=337ns/day
  t=4.2ns z_target=1.576 z_actual=1.539 dz=-0.037 speed=337ns/day
  t=4.4ns z_target=1.532 z_actual=1.419 dz=-0.113 speed=337ns/day
  t=4.6ns z_target=1.488 z_actual=0.641 dz=-0.847 speed=337ns/day
  t=4.8ns z_target=1.444 z_actual=0.595 dz=-0.849 speed=338ns/day
  t=5.0ns z_target=1.400 z_actual=0.607 dz=-0.793 speed=338ns/day
  t=5.2ns z_target=1.356 z_actual=0.493 dz=-0.863 speed=338ns/day
  t=5.4ns z_target=1.312 z_actual=0.420 dz=-0.891 speed=338ns/day
  t=5.6ns z_target=1.268 z_actual=0.394 dz=-0.874 speed=338ns/day
  t=5.8ns z_target=1.224 z_actual=0.420 dz=-0.803 speed=337ns/day
  t=6.0ns z_target=1.180 z_actual=0.344 dz=-0.836 speed=338ns/day
  t=6.2ns z_target=1.136 z_actual=0.377 dz=-0.759 speed=338ns/day
  t=6.4ns z_target=1.092 z_actual=0.395 dz=-0.697 speed=338ns/day
  t=6.6ns z_target=1.048 z_actual=0.404 dz=-0.644 speed=338ns/day
  t=6.8ns z_target=1.004 z_actual=0.380 dz=-0.624 speed=338ns/day
  t=7.0ns z_target=0.960 z_actual=0.342 dz=-0.618 speed=338ns/day
  t=7.2ns z_target=0.916 z_actual=0.356 dz=-0.560 speed=338ns/day
  t=7.4ns z_target=0.872 z_actual=0.366 dz=-0.506 speed=338ns/day
  t=7.6ns z_target=0.828 z_actual=0.366 dz=-0.462 speed=338ns/day
  t=7.8ns z_target=0.784 z_actual=0.367 dz=-0.417 speed=338ns/day
  t=8.0ns z_target=0.740 z_actual=0.348 dz=-0.391 speed=338ns/day
  t=8.2ns z_target=0.696 z_actual=0.333 dz=-0.363 speed=338ns/day
  t=8.4ns z_target=0.652 z_actual=0.327 dz=-0.325 speed=338ns/day
  t=8.6ns z_target=0.608 z_actual=0.323 dz=-0.284 speed=338ns/day
  t=8.8ns z_target=0.564 z_actual=0.368 dz=-0.196 speed=338ns/day
  t=9.0ns z_target=0.520 z_actual=0.363 dz=-0.157 speed=338ns/day
  t=9.2ns z_target=0.476 z_actual=0.295 dz=-0.181 speed=338ns/day
  t=9.4ns z_target=0.432 z_actual=0.288 dz=-0.144 speed=338ns/day
  t=9.6ns z_target=0.388 z_actual=0.309 dz=-0.079 speed=338ns/day
  t=9.8ns z_target=0.344 z_actual=0.299 dz=-0.045 speed=338ns/day

Total work: -1.44 kJ/mol (-0.34 kcal/mol)
Positive = unfavorable insertion; Negative = favorable insertion
Saved to /workspace/steered_KKRPKP_membrane/results.json
Done in 42.6 min
